Batch,Decom Loss,Relight Loss
200,0.0103,0.1734
201,0.0104,0.1718
202,0.0102,0.1718
203,0.0102,0.1714
204,0.0101,0.1711
205,0.0101,0.1707
206,0.0102,0.1701
207,0.0101,0.1703
208,0.0101,0.1685
209,0.0102,0.1684
210,0.0102,0.167
211,0.0102,0.167
212,0.0102,0.1657
213,0.0099,0.166
214,0.0101,0.1649
215,0.0102,0.1638
216,0.01,0.1638
217,0.0101,0.1629
218,0.0102,0.1619
219,0.0102,0.1625
220,0.01,0.1624
221,0.0101,0.1606
222,0.0101,0.1599
223,0.0101,0.1596
224,0.01,0.1612
225,0.01,0.159
226,0.0102,0.1573
227,0.0102,0.1566
228,0.0102,0.1562
229,0.01,0.1561
230,0.01,0.1552
231,0.0102,0.1542
232,0.0102,0.1536
233,0.0102,0.153
234,0.01,0.1531
235,0.0101,0.1536
236,0.0099,0.1519
237,0.0101,0.1506
238,0.0099,0.1507
239,0.0101,0.1494
240,0.01,0.1487
241,0.0099,0.1491
242,0.0101,0.1475
1,0.01,0.1472
2,0.0101,0.1494
3,0.0101,0.1459
4,0.0098,0.1452
5,0.0099,0.1453
6,0.0099,0.1457
7,0.01,0.1431
8,0.0099,0.1429
9,0.01,0.1419
10,0.0098,0.1419
11,0.0099,0.1408
12,0.01,0.14
13,0.0098,0.1399
14,0.0098,0.139
15,0.0096,0.1392
16,0.0096,0.139
17,0.0097,0.138
18,0.0099,0.1362
19,0.0099,0.1354
20,0.0097,0.1354
21,0.0098,0.1342
22,0.0098,0.1335
23,0.0097,0.133
24,0.0099,0.1323
25,0.0099,0.1316
26,0.0096,0.1317
27,0.0096,0.1306
28,0.0099,0.1295
29,0.0099,0.1289
30,0.0097,0.1316
31,0.0096,0.1284
32,0.0097,0.1273
33,0.0096,0.1264
34,0.0098,0.1255
35,0.0098,0.1248
36,0.0096,0.1241
37,0.0096,0.124
38,0.0096,0.1232
39,0.0095,0.1232
40,0.0096,0.1221
41,0.0096,0.1217
42,0.0098,0.1226
43,0.0097,0.1217
44,0.0097,0.1188
45,0.0094,0.1194
46,0.0096,0.1184
47,0.0094,0.1183
48,0.0096,0.1154
49,0.0097,0.1148
50,0.0095,0.1146
51,0.0094,0.1144
52,0.0094,0.1135
53,0.0094,0.1131
54,0.0095,0.1144
55,0.0096,0.1103
56,0.0094,0.1112
57,0.0095,0.1098
58,0.0095,0.1086
59,0.0096,0.1074
60,0.0096,0.1069
61,0.0094,0.1071
62,0.0095,0.1063
