(py37Retinex) D:\Zou\RetinexNet_PyTorch-master\RetinexNet_PyTorch-master>python train_improved.py --data_dir ./ --batch_size 2 --patch_size 64 --epochs 30 --lr 0.000003
训练数据数量: 485
Epoch [2/30], Batch [23/242], Decom Loss: 0.0164, Relight Loss: 0.3884
Epoch [2/30], Batch [24/242], Decom Loss: 0.0167, Relight Loss: 0.3885
Epoch [2/30], Batch [25/242], Decom Loss: 0.0176, Relight Loss: 0.3885
Epoch [2/30], Batch [26/242], Decom Loss: 0.0165, Relight Loss: 0.3883
Epoch [2/30], Batch [27/242], Decom Loss: 0.0170, Relight Loss: 0.3885
Epoch [2/30], Batch [28/242], Decom Loss: 0.0168, Relight Loss: 0.3884
Epoch [2/30], Batch [29/242], Decom Loss: 0.0175, Relight Loss: 0.3885
Epoch [2/30], Batch [30/242], Decom Loss: 0.0163, Relight Loss: 0.3886
Epoch [2/30], Batch [31/242], Decom Loss: 0.0168, Relight Loss: 0.3883
Epoch [2/30], Batch [32/242], Decom Loss: 0.0167, Relight Loss: 0.3884
Epoch [2/30], Batch [33/242], Decom Loss: 0.0168, Relight Loss: 0.3884
Epoch [2/30], Batch [34/242], Decom Loss: 0.0172, Relight Loss: 0.3884
Epoch [2/30], Batch [35/242], Decom Loss: 0.0174, Relight Loss: 0.3884
Epoch [2/30], Batch [36/242], Decom Loss: 0.0173, Relight Loss: 0.3884
Epoch [2/30], Batch [37/242], Decom Loss: 0.0161, Relight Loss: 0.3884
Epoch [2/30], Batch [38/242], Decom Loss: 0.0163, Relight Loss: 0.3883
Epoch [2/30], Batch [39/242], Decom Loss: 0.0159, Relight Loss: 0.3885
Epoch [2/30], Batch [40/242], Decom Loss: 0.0166, Relight Loss: 0.3882
Epoch [2/30], Batch [41/242], Decom Loss: 0.0162, Relight Loss: 0.3882
Epoch [2/30], Batch [42/242], Decom Loss: 0.0168, Relight Loss: 0.3883
Epoch [2/30], Batch [43/242], Decom Loss: 0.0157, Relight Loss: 0.3883
Epoch [2/30], Batch [44/242], Decom Loss: 0.0168, Relight Loss: 0.3882
Epoch [2/30], Batch [45/242], Decom Loss: 0.0164, Relight Loss: 0.3885
Epoch [2/30], Batch [46/242], Decom Loss: 0.0160, Relight Loss: 0.3882
Epoch [2/30], Batch [47/242], Decom Loss: 0.0156, Relight Loss: 0.3882
Epoch [2/30], Batch [48/242], Decom Loss: 0.0166, Relight Loss: 0.3882
Epoch [2/30], Batch [49/242], Decom Loss: 0.0166, Relight Loss: 0.3882
Epoch [2/30], Batch [50/242], Decom Loss: 0.0163, Relight Loss: 0.3883
Epoch [2/30], Batch [51/242], Decom Loss: 0.0161, Relight Loss: 0.3883
Epoch [2/30], Batch [52/242], Decom Loss: 0.0160, Relight Loss: 0.3882
Epoch [2/30], Batch [53/242], Decom Loss: 0.0158, Relight Loss: 0.3879
Epoch [2/30], Batch [54/242], Decom Loss: 0.0154, Relight Loss: 0.3880
Epoch [2/30], Batch [55/242], Decom Loss: 0.0164, Relight Loss: 0.3880
Epoch [2/30], Batch [56/242], Decom Loss: 0.0159, Relight Loss: 0.3879
Epoch [2/30], Batch [57/242], Decom Loss: 0.0162, Relight Loss: 0.3880
Epoch [2/30], Batch [58/242], Decom Loss: 0.0158, Relight Loss: 0.3880
Epoch [2/30], Batch [59/242], Decom Loss: 0.0162, Relight Loss: 0.3880
Epoch [2/30], Batch [60/242], Decom Loss: 0.0165, Relight Loss: 0.3880
Epoch [2/30], Batch [61/242], Decom Loss: 0.0153, Relight Loss: 0.3879
Epoch [2/30], Batch [62/242], Decom Loss: 0.0155, Relight Loss: 0.3879
Epoch [2/30], Batch [63/242], Decom Loss: 0.0163, Relight Loss: 0.3880
Epoch [2/30], Batch [64/242], Decom Loss: 0.0157, Relight Loss: 0.3878
Epoch [2/30], Batch [65/242], Decom Loss: 0.0160, Relight Loss: 0.3878
Epoch [2/30], Batch [66/242], Decom Loss: 0.0147, Relight Loss: 0.3881
Epoch [2/30], Batch [67/242], Decom Loss: 0.0161, Relight Loss: 0.3880
Epoch [2/30], Batch [68/242], Decom Loss: 0.0153, Relight Loss: 0.3878
Epoch [2/30], Batch [69/242], Decom Loss: 0.0168, Relight Loss: 0.3879
Epoch [2/30], Batch [70/242], Decom Loss: 0.0161, Relight Loss: 0.3879
Epoch [2/30], Batch [71/242], Decom Loss: 0.0157, Relight Loss: 0.3878
